"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","B","01","07860947","Central Colombo Toastmasters Club","Active","Y","34","38","4","6","5","1","0","0","1","1","4","2","7","7","1","0","1",""
"82","B","01","28675430","NTG Toastmasters Club","Active","Y","20","22","2","4","2","2","0","0","0","0","4","2","7","6","1","0","1",""
"82","B","02","04091394","Ceylinco Life Toastmasters Club","Active","Y","33","36","3","6","7","1","0","0","1","1","4","3","7","7","1","0","1",""
"82","B","02","06929313","LALAN Toastmasters Club","Active","Y","13","10","-3","3","1","0","0","0","0","0","4","1","7","4","1","0","1",""
"82","B","02","28675989","Tiqri Toastmasters Club","Active","Y","21","23","2","7","5","1","0","2","1","1","4","1","7","7","1","0","1",""
"82","B","02","28678112","Sri Lanka Law College Toastmasters Club","Active","Y","20","20","0","3","3","0","0","0","0","0","4","3","7","7","1","0","1",""
"82","B","02","28678673","IESL Sabaragamuwa Toastmaster Club","Active","Y","20","9","-11","2","0","0","0","0","0","0","0","0","6","4","1","0","1",""
"82","B","03","02568195","Fusion Toastmasters Club","Active","Y","13","9","-4","3","0","0","0","0","0","0","4","1","7","5","1","0","1",""
"82","B","03","04859680","Zone24x7 Toastmasters Club","Active","Y","18","18","0","5","1","1","0","0","1","1","4","3","7","4","1","0","1",""
"82","B","03","06989204","Wednesday 7 Toastmasters Club","Active","Y","22","28","6","8","4","0","0","2","1","1","4","6","7","7","1","0","1",""
"82","B","03","07792006","Bar Association of Sri Lanka Toastmasters Club","Active","Y","20","20","0","2","0","0","0","0","0","0","1","0","7","4","1","0","1",""
"82","B","03","28678848","CEAT Sri Lanka Toastmasters Club","Active","Y","20","17","-3","2","3","0","0","0","0","0","0","0","7","4","1","0","1",""
"82","B","04","05477573","PIM Toastmasters","Active","Y","27","32","5","7","5","0","0","2","1","0","4","5","7","6","1","0","1",""
"82","B","04","06547554","Synopsys Lanka Toastmasters Club","Active","Y","20","19","-1","2","2","1","0","1","0","0","1","0","6","5","1","0","1",""
"82","B","04","07980472","Vavuniya Toastmasters Club","Active","Y","21","22","1","8","3","2","0","2","1","3","4","4","7","5","1","0","1",""
"82","B","04","28678629","IESL Vadakkin Chapter Toastmasters Club","Low","Y","20","4","-16","0","0","0","0","0","0","0","0","0","3","0","0","0","1",""
