"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","C","01","05477954","Innovative Minds Toastmasters","Active","Y","18","13","-5","5","2","2","0","1","0","0","4","5","6","5","1","1","1",""
"82","C","01","07786269","Versatile Toastmasters Club","Active","Y","11","8","-3","3","1","0","0","0","1","0","3","0","6","5","1","1","1",""
"82","C","02","03835845","IIT Toastmasters Club","Active","Y","27","21","-6","4","1","1","0","1","0","0","4","6","6","4","1","1","1",""
"82","C","02","07471485","Dehiwala Toastmasters Club","Active","Y","48","38","-10","10","8","2","2","2","1","1","4","16","7","7","1","1","1","M"
"82","C","02","07780371","AATSL Emerging Toastmasters Club","Active","Y","20","26","6","10","4","2","3","2","1","1","4","14","7","7","1","1","1","M"
"82","C","02","07980844","Hemas Holdings Toastmasters Club","Ineligible","Y","8","0","-8","0","2","0","0","0","0","0","1","0","4","0","0","0","1",""
"82","C","02","28678621","ECU Sri Lanka Toastmasters Club","Active","Y","20","28","8","10","15","2","2","2","1","1","4","9","7","7","1","1","1","M"
"82","C","03","00002773","Sampath Bank Toastmasters Club","Active","Y","20","27","7","10","4","2","2","2","1","1","4","6","4","5","1","1","1","M"
"82","C","03","00636934","Lyceum Toastmasters Club Nugegoda ","Active","Y","27","29","2","10","5","2","2","2","1","2","4","14","7","7","1","1","1","M"
"82","C","03","06588287","Open University Toastmasters","Active","Y","12","11","-1","2","3","0","0","0","0","0","4","0","4","3","1","1","1",""
"82","C","03","07974483","Elicit Toastmasters Club","Active","Y","20","12","-8","4","1","1","0","0","1","1","2","0","5","7","1","1","1",""
"82","C","03","28679963","Medihelp TMC","Active","Y","22","22","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"82","C","04","01016391","Braybrooke Toastmasters Club","Active","Y","20","20","0","10","4","2","2","3","1","1","4","6","7","7","1","1","1","P"
"82","C","04","01334805","CIPM Toastmasters Club","Active","Y","26","27","1","10","7","2","2","2","1","3","4","6","7","7","1","1","1","M"
"82","C","04","06519630","Sri Lanka Customs Toastmasters Club","Active","Y","25","40","15","10","5","2","2","3","1","1","4","17","7","7","1","1","1","M"
"82","C","04","07484508","LOLC Toastmasters","Active","Y","20","20","0","7","4","2","0","0","1","0","4","9","7","7","1","1","1","S"
"82","C","04","28678693","Eswaran Brothers Toastmasters Club","Active","Y","20","20","0","5","5","2","1","0","0","0","4","1","7","7","1","1","1","D"
"82","D","01","00918672","Ralph Toastmasters Club","Active","Y","49","49","0","10","4","2","2","3","1","3","4","14","7","7","1","1","1","M"
"82","D","01","01290125","Marketers Toastmasters Club","Active","Y","35","41","6","10","4","2","2","2","1","2","4","10","7","7","1","1","1","M"
"82","D","01","05163369","LSEG Sri Lanka Toastmasters","Active","Y","24","23","-1","5","2","1","0","0","1","0","4","5","7","7","1","1","1","D"
"82","D","01","07941356","Bank of Ceylon Sabaragamuwa Toastmasters Club","Suspended","Y","13","0","-13","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"82","D","02","05231508","HSBC Global Service Centre","Active","Y","25","9","-16","10","5","2","2","2","1","4","4","4","7","7","1","1","1",""
"82","D","02","05663570","Sysco Labs SL Toastmasters","Active","Y","8","9","1","3","1","1","0","0","1","0","4","3","7","4","1","1","0",""
"82","D","02","07980809","Torrington Toastmasters Club","Active","Y","34","35","1","10","4","2","2","2","1","1","4","12","7","7","1","1","1","M"
"82","D","02","28676942","Catalyst Toastmasters Club","Active","Y","20","8","-12","4","0","0","0","0","0","0","4","11","7","4","1","1","1",""
"82","D","03","00598998","University of Moratuwa Toastmasters Club","Active","Y","12","8","-4","4","4","1","0","1","0","0","4","1","4","4","1","1","1",""
"82","D","03","01195101","SLT Toastmasters","Active","Y","12","8","-4","1","0","0","0","0","0","0","3","0","4","1","1","1","1",""
"82","D","03","01861319","Moratuwa Toastmasters","Active","Y","34","40","6","10","6","2","3","2","1","2","4","20","7","7","1","1","1","M"
"82","D","03","02823690","KDU Toastmasters Club","Active","Y","79","94","15","10","29","2","13","15","1","16","4","50","7","7","1","1","1","M"
"82","D","03","28678375","IESL Ruhuna Toastmasters Club","Active","Y","20","13","-7","6","4","0","0","1","1","0","4","7","5","7","1","1","1",""
"82","D","04","00614737","IESL Toastmasters Club","Active","Y","46","42","-4","10","6","2","2","2","1","5","4","14","6","7","1","1","1","M"
"82","D","04","01280859","Sri Lanka Institute of Marketing Toastmasters Club","Active","Y","16","14","-2","5","0","0","0","2","0","0","4","7","4","5","1","1","1",""
"82","D","04","06650246","University of Colombo Toastmasters Club","Low","Y","21","5","-16","3","1","0","0","0","1","0","4","1","5","3","1","0","1",""
"82","D","04","07392229","Startup Colombo Toastmasters Club","Active","Y","24","20","-4","10","6","2","2","4","1","2","4","6","7","7","1","1","1","P"
"82","D","04","07988670","CECB Toastmasters Club","Active","Y","25","29","4","10","5","2","2","2","1","3","4","11","7","7","1","1","1","M"
"82","D","04","28679323","IRD Toastmasters Club","Active","Y","20","27","7","4","2","0","0","1","0","0","4","8","0","5","1","1","1",""
"82","E","01","00007595","The Millennium Toastmasters Club","Active","Y","39","38","-1","10","4","2","2","2","1","4","4","14","7","7","1","1","1","M"
